Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,0.0,Rejeita H₀
ARCHLM,0.05,1.0993598532939668e-44,Rejeita H₀
Ljung Box,0.05,4.407337541165083e-68,Rejeita H₀
