Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,7.86174354847726e-33,Rejeita H₀
ARCHLM,0.05,1.936740082311101e-7,Rejeita H₀
Ljung Box,0.05,3.449155036035832e-52,Rejeita H₀
