Teste,0.01,pvalor,Rejeicao
Jarque Bera,0.01,0.0,Rejeita H₀
ARCHLM,0.01,1.739789494741385e-26,Rejeita H₀
Ljung Box,0.01,4.872208799133861e-13,Rejeita H₀
