Teste,0.01,pvalor,Rejeicao
Jarque Bera,0.01,9.738874688586301e-19,Rejeita H₀
ARCHLM,0.01,7.230129989853778e-10,Rejeita H₀
Ljung Box,0.01,9.1794473152481e-38,Rejeita H₀
