Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,3.186992030357463e-236,Rejeita H₀
ARCHLM,0.05,1.190832205589047e-34,Rejeita H₀
Ljung Box,0.05,8.135108329908462e-82,Rejeita H₀
