Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:48020000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
48020000;1;01/12/2021;;1;1;1044,068;912,434;961,383;27;1;1;1;1;0;0;912,434;983,25;932,651;952,881;963,001;942,765;942,765;942,765;942,765;983,25;963,001;963,001;963,001;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;1003,511;1003,511;1044,068;1044,068;1003,511;993,379;952,881;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/11/2021;;1;1;1023,784;922,541;974,149;5;30;1;1;1;;0;983,25;983,25;983,25;983,25;1023,784;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;963,001;963,001;963,001;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;932,651;922,541;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
48020000;1;01/09/2021;;1;1;1705,691;1513,633;1547,114;30;9;1;1;1;0;0;1553,28;1553,28;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1513,633;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1573,261;1573,261;1573,261;1553,28;1553,28;1553,28;1573,261;1705,691;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
48020000;1;01/08/2021;;1;1;1523,505;1186,371;1208,102;31;1;1;1;1;;0;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1206,742;1206,742;1206,742;1206,742;1206,742;1206,742;1206,742;1380,286;1523,505;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/07/2021;;1;1;1186,371;1104,99;1173,9;8;4;1;1;1;;0;1166,01;1166,01;1166,01;1104,99;1104,99;1104,99;1104,99;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;1186,371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48020000;1;01/06/2021;;1;1;1533,403;1166,01;1395,66;3;25;1;1;1;;0;1513,633;1513,633;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1533,403;1349,612;1216,932;1186,371;1186,371;1186,371;1186,371;1166,01;1166,01;1166,01;1166,01;1166,01;1166,01;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
48020000;1;01/05/2021;;1;1;1513,633;1492,925;1512,297;3;1;1;1;1;;0;1492,925;1492,925;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1513,633;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/04/2021;;1;1;1573,261;1064,365;1448,611;26;1;1;1;1;;0;1064,365;1064,365;1064,365;1227,124;1451,936;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1492,925;1533,403;1553,28;1533,403;1573,261;1513,633;1513,633;1492,925;1492,925;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
48020000;1;01/03/2021;;1;1;1064,365;922,541;1012,391;16;9;1;1;1;;0;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;922,541;922,541;942,765;922,541;1013,646;1044,068;1044,068;1064,365;1064,365;1064,365;1064,365;1064,365;1064,365;1064,365;1064,365;1064,365;1064,365;1064,365;1064,365;1064,365;1064,365;1064,365;1064,365;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/02/2021;;1;1;1003,511;942,765;965,903;1;12;1;1;1;;0;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;963,001;963,001;963,001;942,765;942,765;942,765;942,765;942,765;942,765;963,001;963,001;963,001;963,001;963,001;942,765;942,765;942,765;942,765;942,765;942,765;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
48020000;1;01/01/2021;;1;1;2072,583;1003,511;1157,394;1;17;1;1;1;;0;2072,583;1695,348;1431,454;1227,124;1227,124;1227,124;1206,742;1206,742;1206,742;1206,742;1227,124;1227,124;1267,915;1267,915;1084,672;1044,068;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1003,511;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/12/2020;;1;1;3035,281;1247,515;2191,877;22;5;1;1;1;;0;1885,461;1695,348;1492,925;1308,745;1247,515;1247,515;1247,515;1247,515;1247,515;1247,515;1247,515;1370,059;1593,348;2050,192;2337,236;2516,832;2602,509;2602,509;2602,509;2790,059;2982,95;3035,281;3035,281;3035,281;3035,281;3035,281;3009,069;2982,95;3009,069;2726,946;2480,475;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/11/2020;;1;1;3692,132;1885,461;3123,83;6;30;1;1;1;0;0;2140,359;2651,996;3009,069;3316,135;3607,143;3692,132;3663,712;3663,712;3607,143;3495,095;3467,311;3467,311;3467,311;3439,618;3439,618;3439,618;3412,017;3412,017;3412,017;3412,017;3201,224;3035,281;3022,164;3035,281;3009,069;2815,47;2504,689;2083,817;1907,097;1885,461;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
48020000;1;01/10/2020;;1;1;2083,817;983,25;1707,339;8;24;1;1;1;;0;2061,375;2061,375;2061,375;2039,033;2039,033;2039,033;2039,033;2083,817;2083,817;2061,375;2061,375;2039,033;2039,033;2039,033;2039,033;2039,033;2061,375;2061,375;2061,375;1821,167;1318,958;1054,215;1003,511;983,25;983,25;983,25;983,25;983,25;983,25;1196,556;1623,674;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/09/2020;;1;1;2083,817;1472,426;1930,362;24;1;1;1;1;;0;1472,426;1664,474;1778,815;1799,94;1799,94;1799,94;1799,94;1799,94;1799,94;1799,94;1799,94;1863,928;1863,928;1907,097;1972,611;2039,033;2061,375;2061,375;2061,375;2061,375;2061,375;2061,375;2061,375;2083,817;2083,817;2083,817;2083,817;2061,375;2061,375;2061,375;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
48020000;1;01/08/2020;;1;1;1950,671;1288,325;1473,765;3;12;1;1;1;0;0;1907,097;1928,833;1950,671;1950,671;1736,875;1674,74;1573,261;1390,516;1329,174;1318,958;1298,534;1288,325;1288,325;1288,325;1288,325;1288,325;1339,392;1349,612;1349,612;1349,612;1349,612;1349,612;1349,612;1441,694;1472,426;1472,426;1472,426;1472,426;1472,426;1472,426;1472,426;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/07/2020;;1;1;1950,671;1907,097;1926,743;8;1;1;1;1;0;0;1907,097;1907,097;1907,097;1907,097;1907,097;1907,097;1928,833;1950,671;1950,671;1950,671;1950,671;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1907,097;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/06/2020;;1;1;1928,833;1716,06;1879,186;8;1;1;1;1;;0;1716,06;1716,06;1716,06;1716,06;1716,06;1716,06;1716,06;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;1928,833;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
