Teste,0.01,pvalor,Rejeicao
Jarque Bera,0.01,1.257536755343026e-235,Rejeita H₀
ARCHLM,0.01,3.4456643993354885e-42,Rejeita H₀
Ljung Box,0.01,2.1767460126246566e-142,Rejeita H₀
