dates,fit_in_sample,level,param_1,param_2,q_residuals,residuals,seasonality,slope,std_residuals
2002-01-01,22719.87901889,53464.25069637045,1235.8978317349477,76213.24746519061,-35.43934438845658,0.0,634.2848643814339,872.6567335235445,0.0
2002-02-01,23739.302081681744,14076.061170574703,1235.8978317349477,23739.302081681744,-0.4166520588278296,-286.5998797717439,1593.4214428392856,731.8982179272718,-0.4244234215487107
2002-03-01,24261.32554111471,14592.255011841087,1235.8978317349477,24261.32554111471,1.258001719503591,871.8756818552902,1599.2510610058735,658.4217918021434,1.2633722240979206
2002-04-01,24443.130207052043,15906.878755481106,1235.8978317349477,24443.130207052043,1.8882902283351244,1329.7197931279552,466.4319833031838,593.4514730012374,1.912469850138525
2002-05-01,24585.635502497906,17501.12052667646,1235.8978317349477,24585.635502497906,0.2788064398043905,188.8357339820941,-985.3044924463094,535.4360262629675,0.27001881510514947
2002-06-01,24852.8505885672,18178.680458660907,1235.8978317349477,24852.8505885672,-0.3111028399781865,-225.9521029371972,-1395.6493383614663,482.08125212823273,-0.31961817243943824
2002-07-01,25015.123084151222,18490.70282048419,1235.8978317349477,25015.123084151222,-1.0943727518757635,-777.2764333012237,-1545.3992046007193,433.6471722514102,-1.0923558562058662
2002-08-01,25731.2179242123,18339.346507398015,1235.8978317349477,25731.2179242123,-0.7907987843817637,-581.3255169622971,-677.9480514534731,389.50518202941123,-0.7942373906654855
2002-09-01,26365.845976889286,18291.3272271406,1235.8978317349477,26365.845976889286,-1.8849006306594167,-1395.378059909286,4.699281480928674,349.9733402278578,-1.8605505094454362
2002-10-01,26133.47849713701,17591.093725370945,1235.8978317349477,26133.47849713701,1.3280871871556466,992.5296346729883,472.56530349830825,313.58063859925704,1.335173018639893
2002-11-01,26732.39567198522,18651.684398861733,1235.8978317349477,26732.39567198522,-0.45082007146686237,-348.49907433522094,10.891804855731916,283.2150913131614,-0.45830546235581476
2002-12-01,26553.12714902018,18672.60776952895,1235.8978317349477,26553.12714902018,-1.218782492458184,-916.9662622301803,-189.30008877652787,254.54508376046374,-1.2140287374837275
2003-01-01,26951.10331158279,18237.01426638339,1235.8978317349477,26951.10331158279,-1.656818574474712,-1257.3596294527888,644.2695769316422,228.1736157464427,-1.6401148033967148
2003-02-01,27179.17746952331,17518.858192967837,1235.8978317349477,27179.17746952331,0.4326087045092506,328.4475160966904,1590.4998082877203,204.09890483420278,0.424835654134154
2003-03-01,27635.086450389877,17970.15736456333,1235.8978317349477,27635.086450389877,-1.599005721675972,-1245.2258050798773,1595.1096175587952,184.01745654155326,-1.5840853215170814
2003-04-01,25750.30725922618,17216.977442206808,1235.8978317349477,25750.30725922618,0.6680880226739024,485.43884369381703,463.51034875162065,164.3704956943767,0.6627403217158604
2003-05-01,24837.67312537696,17746.70497600462,1235.8978317349477,24837.67312537696,0.7363198312665505,517.0766059730377,-978.8513188954232,148.41887847067227,0.7318722277573528
2003-06-01,24955.54099524462,18284.292499889896,1235.8978317349477,24955.54099524462,0.5289036288649848,370.5457968253795,-1398.570972913031,134.09406057475078,0.5219948128899875
2003-07-01,25231.676336666886,18697.27136044964,1235.8978317349477,25231.676336666886,0.11681300777385205,77.11378434311337,-1535.4144920505105,121.05519526780837,0.10744277006243876
2003-08-01,26251.188520279826,18876.364894014394,1235.8978317349477,26251.188520279826,-1.0537564616266946,-785.974918029824,-694.995842002324,109.02678754375147,-1.0525700331333687
2003-09-01,26464.218740457785,18393.84143415618,1235.8978317349477,26464.218740457785,-0.28570338043958643,-221.59290748778585,0.5578380338494653,97.33814064080838,-0.2943662826173914
2003-10-01,26885.05392772552,18324.401556515084,1235.8978317349477,26885.05392772552,-0.06286782554939313,-55.292771895517944,490.8329029426759,87.38273491181667,-0.07230173772658985
2003-11-01,26467.92821937338,18370.169155701038,1235.8978317349477,26467.92821937338,0.45467952121970145,336.60659273661804,27.939595404585692,78.58916832788005,0.4470889690690434
2003-12-01,26579.69712177558,18702.09937683592,1235.8978317349477,26579.69712177558,0.11946098015597663,83.23985410441674,-192.22172332809313,71.06685393594468,0.11009626039902043
2004-01-01,27538.699771896547,18835.81524814287,1235.8978317349477,27538.699771896547,-1.6278253943453245,-1262.7680923165462,633.065055485921,64.04340685343269,-1.6120238144924666
2004-02-01,27592.72986705407,17949.45838104745,1235.8978317349477,27592.72986705407,-1.0077994305902658,-790.7787749840681,1573.4520177388677,56.37631006293061,-1.007515230363762
2004-03-01,27092.64578134432,17410.668904968916,1235.8978317349477,27092.64578134432,0.5621968266896376,428.1975254156823,1612.1574081076483,49.947907625630805,0.555627867173116
2004-04-01,26313.30035816214,17782.89217569433,1235.8978317349477,26313.30035816214,1.3420011685105382,1010.036822877857,460.58871420005664,45.381309607096654,1.3494387256047435
2004-05-01,25696.47593848173,18588.459998560542,1235.8978317349477,25696.47593848173,1.2397846097337175,909.8201904182715,-961.8035283465705,41.853204915205175,1.2447246436192545
2004-06-01,25997.52644146913,19315.07342466868,1235.8978317349477,25997.52644146913,0.7905766635462125,581.9220079508705,-1387.366451467307,38.577695097479065,0.7869081418765734
2004-07-01,26328.951131335532,19791.624520566726,1235.8978317349477,26328.951131335532,0.446777421568805,328.8712809544668,-1532.4928574989453,35.301841390761574,0.43912046395167437
2004-08-01,27460.473715596752,20074.4455678856,1235.8978317349477,27460.473715596752,-0.3525743946068187,-281.8450448667536,-683.7913205566051,32.10052489095898,-0.3608225439319164
