Steps,Q5%,Q25%,Q50%,Q75%,Q95%
1.0,36229.68446869754,37095.195284893096,37851.92984851597,38641.50283665072,39696.35305983689
5.0,36728.24750793415,37961.053263308175,38803.38109487138,39682.25311007704,41140.27378541587
12.0,37477.91198809304,38765.48286517288,39842.97318008508,40915.02434610042,42264.44262973033
