Teste,0.01,pvalor,Rejeicao
Jarque Bera,0.01,7.823992628118758e-5,Rejeita H₀
H,0.01,0.1571673728758134,Não rejeita H₀
ARCHLM,0.01,0.0006679765543617628,Rejeita H₀
Ljung Box,0.01,1.288817548855102e-5,Rejeita H₀
