ar,dates,fit_in_sample,param_1,param_2,q_residuals,residuals,seasonality,std_residuals
29377.699948856793,2000-01-01,44880.21296716022,22.307448801954777,44880.21296716022,0.024122576923548272,-441.21296716022334,16891.358285492766,-0.04643209840296501
29457.27431863925,2000-02-01,49827.58180614124,22.307448801954777,49827.58180614124,0.5708024037156408,5471.418193858757,19040.746027701978,0.5186269154811318
34334.384320264,2000-03-01,53524.14025991732,22.307448801954777,53524.14025991732,-0.30799681589004535,-4182.140259917323,17860.194479853315,-0.3690403439570361
31453.11731544738,2000-04-01,39955.6870038142,22.307448801954777,39955.6870038142,-1.153623525138107,-9492.6870038142,7173.008228566818,-1.1221102034482973
24221.00565400715,2000-05-01,23196.249006729584,22.307448801954777,23196.249006729584,-0.5773557022369429,-3042.249006729584,-2354.3181070775786,-0.61944385394016
22113.816242621466,2000-06-01,17345.502772914388,22.307448801954777,17345.502772914388,0.16157744569107835,336.4972270856124,-6097.8749295070875,0.0916261734128463
22716.09968247574,2000-07-01,13237.846376078815,22.307448801954777,13237.846376078815,1.1668907574805962,3319.1536239211855,-10807.814766196938,1.1842270293649124
25746.8953230812,2000-08-01,13128.938541554106,22.307448801954777,13128.938541554106,1.0517382658014558,2923.0614584458945,-13947.518241327105,1.0515581259836382
28501.51351329386,2000-09-01,15216.532709875131,22.307448801954777,15216.532709875131,2.9512929954665044,11272.467290124869,-14614.54226321874,3.4988734294101382
38070.22526833638,2000-10-01,27080.126130690667,22.307448801954777,27080.126130690667,-2.1881570581804586,-10985.126130690667,-12319.660597445718,-1.9159285870457636
29725.981814448034,2000-11-01,24522.212637014738,22.307448801954777,24522.212637014738,-0.09680079050836154,-860.212637014738,-6533.330637233307,-0.1656803932809856
29470.848494692877,2000-12-01,36510.15733321987,22.307448801954777,36510.15733321987,-0.051748438926566026,-939.1573332198677,5709.747378726977,-0.12149253724630676
29147.87550822951,2001-01-01,47368.799512020305,22.307448801954777,47368.799512020305,-1.496811149658573,-14046.799512020305,16891.3625439908,-1.400586570931354
18187.119818989457,2001-02-01,38557.426060409016,22.307448801954777,38557.426060409016,-0.5384171299058098,-4766.426060409016,19040.74478161953,-0.583861418945121
14591.415228480655,2001-03-01,33781.16940180084,22.307448801954777,33781.16940180084,-0.4517434874019334,-3604.169401800842,17860.192713520177,-0.5039128907622615
11884.991328096996,2001-04-01,20387.559770381406,22.307448801954777,20387.559770381406,0.6681310008004756,2692.4402296185945,7173.006982484392,0.6237431313397851
14246.099315222176,2001-05-01,13221.345420234842,22.307448801954777,13221.345420234842,1.8595169087149208,5666.654579765158,-2354.3153547873453,2.0243054345222777
19055.063421720228,2001-06-01,14286.748705930708,22.307448801954777,14286.748705930708,0.991782244363657,2974.2512940692923,-6097.876175589529,0.9832618878117224
21751.553296899634,2001-07-01,12273.304249000743,22.307448801954777,12273.304249000743,0.9539098384755075,2443.695750999257,-10807.810507698901,0.940395594394046
24057.810049425254,2001-08-01,11439.845996984537,22.307448801954777,11439.845996984537,0.5178879692389482,1119.1540030154629,-13947.525512240729,0.46205601355713205
25323.937525854508,2001-09-01,12038.954956102623,22.307448801954777,12038.954956102623,0.578142143389868,1342.0450438973767,-14614.544029551893,0.5265059160722295
26789.73010123243,2001-10-01,15799.638754751046,22.307448801954777,15799.638754751046,1.1169938798864238,3768.361245248954,-12319.652806281394,1.126497737769687
30245.588675063856,2001-11-01,25041.82676854415,22.307448801954777,25041.82676854415,-0.4684381757095875,-2753.8267685441497,-6533.323366319709,-0.5193923667327445
28462.08571792283,2001-12-01,35501.39331036738,22.307448801954777,35501.39331036738,-0.06598447613018667,-1018.3933103673771,5709.746132644529,-0.13548620938804337
28059.813843848617,2002-01-01,46280.733068890695,22.307448801954777,46280.733068890695,0.5336443523501946,4692.266931109305,16891.35776524207,0.4788587561657449
32284.06238489242,2002-02-01,52654.361355398345,22.307448801954777,52654.361355398345,0.7268917713184411,7668.638644601655,19040.737510705916,0.6878739717900519
38985.66270651765,2002-03-01,58175.42415075145,22.307448801954777,58175.42415075145,-1.3517330061089938,-15824.424150751453,17860.199984433795,-1.284734270433246
26729.393423350728,2002-04-01,35231.96061955269,22.307448801954777,35231.96061955269,-1.1722253253155441,-8485.960619552687,7173.005736401958,-1.1375988716318808
20243.597368337076,2002-05-01,19218.850744263364,22.307448801954777,19218.850744263364,1.5176860582192062,6513.149255736636,-2354.3080838737214,1.6006212157898418
25828.555231985898,2002-06-01,21060.24529494513,22.307448801954777,21060.24529494513,-0.46245181282720393,-2291.245294945129,-6097.871396840777,-0.513846157630954
24354.522486748563,2002-07-01,14876.274684932117,22.307448801954777,14876.274684932117,0.5483402622931878,1557.7253150678825,-10807.809261616458,0.4945630219501176
25980.839403851853,2002-08-01,13362.880130159885,22.307448801954777,13362.880130159885,0.6091730275459095,1584.119869840115,-13947.52073349198,0.5599031634010071
27652.786550402438,2002-09-01,14367.805226733004,22.307448801954777,14367.805226733004,0.5519387371558765,1516.194773266996,-14614.542783469442,0.4984131770254634
29294.530957064806,2002-10-01,18304.426314838624,22.307448801954777,18304.426314838624,-1.8333938519434443,-6429.4263148386235,-12319.666102026189,-1.6589796310689569
24515.20358496421,2002-11-01,19311.430874864625,22.307448801954777,19311.430874864625,0.35358782168811453,1181.5691251353746,-6533.334169899593,0.28898122832600825
25838.773897541407,2002-12-01,32878.080243903496,22.307448801954777,32878.080243903496,-0.11942970029370781,-1307.080243903496,5709.744886562087,-0.1877676417597546
