Teste,0.01,pvalor,Rejeicao
Jarque Bera,0.01,1.204516238622853e-7,Rejeita H₀
H,0.01,0.6482718258633189,Não rejeita H₀
ARCHLM,0.01,5.482187635184789e-6,Rejeita H₀
Ljung Box,0.01,0.0023849174568081116,Rejeita H₀
