dates,fit_in_sample,level,param_1,param_2,q_residuals,residuals,seasonality,slope,std_residuals
2002-01-01,22719.87901889,-86387.34047624552,49.57232507629536,93238.01394481795,-8.010706791703814,0.0,-0.6023192484999396,8966.382419597636,0.0
2002-02-01,25303.90932530549,-77491.47548701252,49.57232507629536,25303.90932530549,-0.48055997039533005,-1851.2071233954885,0.11511041899873578,7999.226658180595,-0.5150946446286232
2002-03-01,27286.73924420284,-69494.10001745951,49.57232507629536,27286.73924420284,-0.5233206209878802,-2153.538021232838,0.09982496775949379,7197.452723789752,-0.5556746024875
2002-04-01,28215.113380304727,-62298.80081017454,49.57232507629536,28215.113380304727,-0.5802519155033737,-2442.2633801247284,0.09645245303096336,6475.553862977522,-0.6094391397516632
2002-05-01,26641.07600426827,-55825.68918617599,49.57232507629536,26641.07600426827,-0.45767862279275284,-1866.6047677882707,0.1358319018273019,5825.5561729905285,-0.49331037996273724
2002-06-01,26830.818685946368,-50001.999599303614,49.57232507629536,26830.818685946368,-0.5472799129162895,-2203.9202003163664,0.1478574239356637,5241.133911355977,-0.5783378092307622
2002-07-01,27014.086249999287,-44763.06958612813,49.57232507629536,27014.086249999287,-0.7021840269284618,-2776.2395991492886,0.1610680267238518,4714.816569666903,-0.723579587757421
2002-08-01,29450.48082333769,-40051.02922832239,49.57232507629536,29450.48082333769,-1.0349742582720467,-4300.5884160876885,0.11918556915937271,4240.558653731398,-1.0281468175621384
2002-09-01,30832.960705027916,-35814.77112003901,49.57232507629536,30832.960705027916,-1.386260847860092,-5862.492788047915,0.09468229797428282,3812.2022005547547,-1.3387107058457144
2002-10-01,36826.5284037487,-32008.43135369892,49.57232507629536,36826.5284037487,-1.9997277964339424,-9700.520271938702,-0.08130804157662086,3425.1195082227505,-1.8546155284224408
2002-11-01,37706.671054001796,-28593.012268828195,49.57232507629536,37706.671054001796,-2.3243317338131466,-11322.774456351795,-0.121801980265564,3072.90709988488,-2.1142401147784575
2002-12-01,38309.264864787525,-25531.427830271485,49.57232507629536,38309.264864787525,-2.602045606759274,-12673.103977997525,-0.1600098261535348,2754.293697937617,-2.3291573254521043
2003-01-01,48037.059849992045,-22789.807109692254,49.57232507629536,48037.059849992045,-3.9407648383060265,-22343.316167862045,-0.6061075570647436,2466.1913233499017,-3.27484581355079
2003-02-01,31859.400191544843,-20345.95887927351,49.57232507629536,31859.400191544843,-0.9614386482526907,-4351.775205924841,0.11621891893193463,2197.229073601264,-0.9617196789185091
2003-03-01,32383.330663032048,-18153.081537398677,49.57232507629536,32383.330663032048,-1.345328374341055,-5993.4700177220475,0.10139627645789917,1973.154412584453,-1.3030961666010565
2003-04-01,32644.871705239377,-16185.920534949944,49.57232507629536,32644.871705239377,-1.4365998876382229,-6409.125602319378,0.09756095296416266,1769.8455415122937,-1.3823036699167677
2003-05-01,32300.26417007286,-14422.484055005069,49.57232507629536,32300.26417007286,-1.5902624559247938,-6945.514438722861,0.13338349757830031,1586.4519081510507,-1.5139725071952397
2003-06-01,32310.819514887484,-12842.977591898667,49.57232507629536,32310.819514887484,-1.5997390962691358,-6984.732722817484,0.14896592386886331,1420.8612564859413,-1.5220238687508278
2003-07-01,32426.4197532044,-11429.10099834963,49.57232507629536,32426.4197532044,-1.6273703136625068,-7117.629632194403,0.15727971815904776,1271.7904537506054,-1.5454538110989544
2003-08-01,32946.78767621038,-10164.428103117507,49.57232507629536,32946.78767621038,-1.690606298567787,-7481.574073960375,0.12565368635578184,1137.493837198325,-1.598819908814148
2003-09-01,33354.39043569957,-9034.415765243184,49.57232507629536,33354.39043569957,-1.575270307378744,-7111.7646027295705,0.09625360667268854,1016.2629428409192,-1.5012188518236522
2003-10-01,34932.12659239615,-8025.26451594988,49.57232507629536,34932.12659239615,-1.731421041311569,-8102.365436566146,-0.08823896753823508,907.5249449046486,-1.6330761872243194
2003-11-01,35138.01796605116,-7125.841855529384,49.57232507629536,35138.01796605116,-1.7753926129167652,-8333.483153941157,-0.12827009746197238,808.6701569199001,-1.6698172598290553
2003-12-01,35229.11668682418,-6325.505098501868,49.57232507629536,35229.11668682418,-1.82613665398421,-8566.17971094418,-0.158901326220335,719.469733315286,-1.7120051693137477
2004-01-01,37603.16958222491,-5614.601459311048,49.57232507629536,37603.16958222491,-2.3328050893908716,-11327.237902644909,-0.6018564397347334,638.9566587324481,-2.120895219334381
2004-02-01,33612.1487322749,-4986.971925308462,49.57232507629536,33612.1487322749,-1.4879484152355265,-6810.1976402049,0.12268703612834335,563.7338618282084,-1.4265371422840873
2004-03-01,33803.44921656005,-4430.048193078363,49.57232507629536,33803.44921656005,-1.3516134672425375,-6282.605909800051,0.09492815926149072,500.55034046385157,-1.3085744793526544
2004-04-01,33835.64423833266,-3935.7803957534934,49.57232507629536,33835.64423833266,-1.4051870621657285,-6512.307057292659,0.09866945289736188,444.21275832263495,-1.3551272047226801
2004-05-01,33780.02539855669,-3498.0798794223415,49.57232507629536,33780.02539855669,-1.568224881549605,-7173.729269656687,0.12691538038189162,393.27923610792186,-1.4952184780747633
2004-06-01,33773.636777881125,-3111.97430090986,49.57232507629536,33773.636777881125,-1.5735644098244241,-7194.188328461125,0.14471480653885432,346.7776510248569,-1.4997663963813848
2004-07-01,33791.017893349606,-2772.3907663348373,49.57232507629536,33791.017893349606,-1.5577467169767742,-7133.195481059607,0.1561712182258485,304.90576606068333,-1.4862863728654203
2004-08-01,33923.56053933275,-2474.618124485979,49.57232507629536,33923.56053933275,-1.4569892598459018,-6744.931868602751,0.12140256902577085,267.2820622490202,-1.3998960338965563
