ar,dates,fit_in_sample,param_1,param_2,q_residuals,residuals,seasonality,std_residuals
7373.86280746586,2000-01-01,44439.0,18.281540484288247,53575.22703106726,-0.6960454027257633,0.0,2.7778507130368726,0.0
7366.046122401799,2000-02-01,54703.29459745234,18.281540484288247,54703.29459745234,0.12438327910508273,595.7054025476609,2.9364888325164116,0.046561230574717595
7367.9598736806065,2000-03-01,52031.19809824684,18.281540484288247,52031.19809824684,-0.14651334967079846,-2689.1980982468376,2.5730617435566727,-0.22098630656021967
7366.5890967752675,2000-04-01,40082.25574262475,18.281540484288247,40082.25574262475,-1.0423033476095744,-9619.255742624751,0.9514950856257809,-1.0261142310724571
7358.288086304414,2000-05-01,29494.630128017314,18.281540484288247,29494.630128017314,-1.4507684687941462,-9340.630128017314,-0.48630228243733625,-1.3540653196270764
7350.264213308758,2000-06-01,26375.22707982786,18.281540484288247,26375.22707982786,-1.5225690530401883,-8693.227079827859,-0.9112264736366168,-1.4092602784377875
7342.886301120837,2000-07-01,21447.148004192102,18.281540484288247,21447.148004192102,-0.9810938420407757,-4890.148004192102,-1.5832785553620676,-0.9748972583388626
7339.310109769831,2000-08-01,17380.500338145885,18.281540484288247,17380.500338145885,-0.25697138947690734,-1328.5003381458846,-2.1381413029793443,-0.3268178653991658
7339.29489052779,2000-09-01,16719.916825538257,18.281540484288247,16719.916825538257,2.205388986292,9769.083174461743,-2.228152136901583,2.4981935849669497
7350.377141003468,2000-10-01,19564.43851647822,18.281540484288247,19564.43851647822,-0.7290696356395527,-3469.4385164782216,-1.8378028288350148,-0.7582251772754796
7348.222985302771,2000-11-01,26093.864188144842,18.281540484288247,26093.864188144842,-0.33289985778806924,-2431.864188144842,-0.9497695218330696,-0.39848072044430877
7347.10600808941,2000-12-01,39699.61672144314,18.281540484288247,39699.61672144314,-0.38232516693600427,-4128.616721443141,0.9019380276980317,-0.4446565023773404
7344.292095457332,2001-01-01,53436.851571701154,18.281540484288247,53436.851571701154,-1.7913151398948701,-20114.851571701154,2.772747718609696,-1.6094680668095651
7325.491604464661,2001-02-01,54595.145067962876,18.281540484288247,54595.145067962876,-1.8186939113031264,-20804.145067962876,2.937982023708438,-1.6293044490283723
7305.99846278738,2001-03-01,51887.23152663408,18.281540484288247,51887.23152663408,-2.044481641907839,-21710.23152663408,2.5751783555997996,-1.7890000386824236
7285.5957556926405,2001-04-01,40016.069764027314,18.281540484288247,40016.069764027314,-2.074348043744308,-16936.069764027314,0.9529882768178095,-1.809608371597817
7269.963511796094,2001-05-01,29513.60555581172,18.281540484288247,29513.60555581172,-1.695654977714988,-10625.605555811719,-0.48960037524693767,-1.5393515578051002
7260.638871775321,2001-06-01,26467.737585753668,18.281540484288247,26467.737585753668,-1.6257176943926017,-9206.737585753668,-0.9097332824445908,-1.4872889077574645
7252.731417008616,2001-07-01,21552.87765086534,18.281540484288247,21552.87765086534,-1.4534135552094447,-6835.877650865339,-1.5883815497892428,-1.3561115403503787
7247.193383518327,2001-08-01,17640.602244809816,18.281540484288247,17640.602244809816,-1.2948129270273538,-5081.602244809816,-2.1294285053170174,-1.2316679904815637
7243.40861692188,2001-09-01,16948.89751688464,18.281540484288247,16948.89751688464,-0.8928225520215226,-3567.897516884641,-2.2260355248584593,-0.9000721250016768
7241.136862671731,2001-10-01,19697.595772983474,18.281540484288247,19697.595772983474,0.04990978056490694,-129.59577298347358,-1.847139047348442,-0.028130924809287746
7242.302969253862,2001-11-01,26131.36307075976,18.281540484288247,26131.36307075976,-0.5835874265666436,-3843.3630707597586,-0.9584823194954,-0.6288625653997924
7239.755554366549,2001-12-01,39613.60360416604,18.281540484288247,39613.60360416604,-0.5007338425298135,-5130.603604166041,0.9034312188900564,-0.5537713773279058
7235.920456004766,2002-01-01,53177.80024109872,18.281540484288247,53177.80024109872,-0.10145384572095709,-2204.8002410987174,2.778474133887973,-0.17727409367432279
7235.010445485078,2002-02-01,54392.3502314929,18.281540484288247,54392.3502314929,0.5276354126586378,5930.649768507101,2.946694821370765,0.46619847379637597
7242.235640716513,2002-03-01,51659.93075358477,18.281540484288247,51659.93075358477,-0.7430200126820006,-9308.93075358477,2.5664655579374718,-0.7704640411864853
7234.222700801715,2002-04-01,39977.91392258993,18.281540484288247,39977.91392258993,-1.5303143880835843,-13231.913922589927,0.9544814680098365,-1.415171040332447
7222.285383177087,2002-05-01,29474.022474271438,18.281540484288247,29474.022474271438,-0.4887688855720086,-3742.022474271438,-0.49831317290926486,-0.5428419169203847
7219.835726002456,2002-06-01,26463.513787883672,18.281540484288247,26463.513787883672,-1.3093175449837022,-7694.513787883672,-0.9154596977228651,-1.2431973272956527
7213.4331787410465,2002-07-01,21604.527212582012,18.281540484288247,21604.527212582012,-1.0389045985747987,-5170.527212582012,-1.5898747409812686,-1.023284641081916
7209.553447146215,2002-08-01,17679.46890124964,18.281540484288247,17679.46890124964,-0.6192137917384878,-2732.4689012496383,-2.135154920595291,-0.6608340429826396
7208.111055236906,2002-09-01,17016.708055197454,18.281540484288247,17016.708055197454,-0.2126823156121021,-1132.708055197454,-2.2275287160504833,-0.2846091349171442
7208.268150066198,2002-10-01,19873.153896736443,18.281540484288247,19873.153896736443,-1.9468512488950478,-7998.153896736443,-1.8312066432158125,-1.7207958695094556
7201.5598958776045,2002-11-01,26263.646137268548,18.281540484288247,26263.646137268548,-0.9391142158296905,-5770.646137268548,-0.9455362977468178,-0.9394546484117476
