Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,0.004585130191560827,Rejeita H₀
ARCHLM,0.05,0.002123874677507702,Rejeita H₀
Ljung Box,0.05,8.445269807662209e-29,Rejeita H₀
