Steps,Q5%,Q25%,Q50%,Q75%,Q95%
1.0,-65235.01090172365,-65168.918219080806,-65111.438613094564,-65051.76024803119,-64972.48718731015
5.0,-59930.39635471821,-59762.40587326091,-59646.55428823202,-59539.182913464974,-59359.52283596477
12.0,-55813.933431606856,-55569.47248623434,-55387.657919299236,-55217.80531220551,-54970.36582172064
