Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,0.0019919888242071137,Rejeita H₀
H,0.05,0.5310344851811469,Não rejeita H₀
ARCHLM,0.05,2.8038411360588115e-7,Rejeita H₀
Ljung Box,0.05,1.1694031402590785e-110,Rejeita H₀
