Steps,Q5%,Q25%,Q50%,Q75%,Q95%
1.0,10876.18536383728,13126.9805842705,15272.8239700821,17745.75935320813,21169.70576410109
5.0,12368.316921349566,15019.879473656398,17086.374807204666,19492.325080364728,23886.028666057155
12.0,15647.888567659733,19657.530963581794,22927.439637674237,26400.04481133289,31540.27674508984
