Steps,Q5%,Q25%,Q50%,Q75%,Q95%
1.0,3399.979388244963,3455.5943676805596,3503.998832279365,3554.290802860435,3621.1510558730843
5.0,11023.509630722823,12025.964754417259,12823.831437242952,13665.151690077673,14852.62252379959
12.0,8772.381554268155,9566.522942658943,11259.045572487319,14374.505142581947,21447.07590934737
