dates,fit_in_sample,level,param_1,param_2,q_residuals,residuals,seasonality,slope,std_residuals
1980-01-01,6.6052979209482015,0.017708293808732928,6.337678035660099,0.10259970992276951,0.8354978059468984,0.0,1.17556799634999,1.115540286273471,0.0
1980-02-01,6.558465559175011,0.01871922857647507,6.558465559175011,0.10259970992276951,-0.49391894730057156,-0.15820811386619038,1.2786794993820207,1.1153284750062837,-0.49391894730057145
1980-03-01,6.920593831565167,0.01977569584956142,6.920593831565167,0.10259970992276951,-0.9801185984841343,-0.31394364536695196,1.1704939439828552,1.1146437109935952,-0.9801185984841342
1980-04-01,7.4427529829905215,0.020875709562400445,7.4427529829905215,0.10259970992276951,-1.5840265231500488,-0.5073825369754115,1.0260927154480382,1.1137915621318817,-1.5840265231500483
1980-05-01,7.388110282827538,0.022015804638648617,7.388110282827538,0.10259970992276951,-1.2363382749559662,-0.3960138554116499,1.0402784792815611,1.1127318456567146,-1.236338274955966
1980-06-01,7.567646066763613,0.023198656795139185,7.567646066763613,0.10259970992276951,-1.6952134628720115,-0.542997036309977,0.9922939192604882,1.1118057092028533,-1.695213462872011
1980-07-01,7.951993432515732,0.024421124970783005,7.951993432515732,0.10259970992276951,-1.6053050768970483,-0.5141983108438,0.8952728636606239,1.1107247317579436,-1.605305076897048
1980-08-01,8.188944368817829,0.025683756359572242,8.188944368817829,0.10259970992276951,-2.097852609324582,-0.6719671442135082,0.8380928967413711,1.1096857000053941,-2.097852609324577
1980-09-01,7.584047009889741,0.026982143445050948,7.584047009889741,0.10259970992276951,-1.5421537014368836,-0.49397017411364885,0.9853507934857293,1.1084813343634519,-1.5421537014368836
1980-10-01,7.4076257140920285,0.028320443454026567,7.4076257140920285,0.10259970992276951,-1.6782776758941627,-0.5375723022939027,1.0336335358194815,1.107485340917077,-1.6782776758941624
1980-11-01,6.9903784213307905,0.029697118921547826,6.9903784213307905,0.10259970992276951,-1.1353330239507344,-0.36366067208176567,1.1614287299190378,1.106450233114245,-1.1353330239507342
1980-12-01,6.993783393330276,0.031117021009859042,6.993783393330276,0.10259970992276951,-1.6521243772164942,-0.5291950896403153,1.1617775092437503,1.105616912461695,-1.6521243772164946
1981-01-01,6.96901940688514,0.03257486367388577,6.96901940688514,0.10259970992276951,-1.3271675772232976,-0.4251075613203481,1.1715558375450341,1.1046082469086673,-1.3271675772232976
1981-02-01,6.66987344936715,0.03407344245406265,6.66987344936715,0.10259970992276951,-1.1810498329945456,-0.37830430980882923,1.2799592984930634,1.1037237185237816,-1.1810498329945456
1981-03-01,6.976584913153874,0.03561408894139548,6.976584913153874,0.10259970992276951,-1.3960333106923593,-0.4471660748916486,1.1721549294380966,1.1028988310166445,-1.3960333106923597
1981-04-01,7.423049944207646,0.037194014849940615,7.423049944207646,0.10259970992276951,-1.7296750530054008,-0.5540354935419396,1.0271197066101805,1.102005494297303,-1.729675053005401
1981-05-01,7.387138039601491,0.038808419157227374,7.387138039601491,0.10259970992276951,-1.4748348550759516,-0.4724071468829285,1.0379824352839835,1.1010025989748666,-1.4748348550759514
1981-06-01,7.529990935878906,0.04045934794540935,7.529990935878906,0.10259970992276951,-1.823150979837468,-0.5839769447796783,0.99328708203222,1.1000987023041853,-1.8231509798374679
1981-07-01,7.873141047044475,0.04214117695208508,7.873141047044475,0.10259970992276951,-1.897248693345288,-0.6077113237905225,0.8922173390853322,1.0990803915825929,-1.897248693345284
1981-08-01,8.04695644841083,0.043851246406129224,8.04695644841083,0.10259970992276951,-1.993138225480802,-0.6384258815162038,0.8429993241047402,1.09804538299332,-1.993138225480798
1981-09-01,7.5434865602420365,0.04558633888450268,7.5434865602420365,0.10259970992276951,-1.4653522136630894,-0.46936974404467424,0.9867490521821574,1.0969862131792065,-1.4653522136630892
1981-10-01,7.416241316650817,0.047352377151927,7.416241316650817,0.10259970992276951,-1.7344895843601011,-0.5555776452025301,1.0271884676617666,1.0961221112679294,-1.7344895843601007
1981-11-01,7.056415473494447,0.049143851188842576,7.056415473494447,0.10259970992276951,-1.6270835114515367,-0.5211742024807879,1.1546689787091189,1.0951714205246204,-1.627083511451537
1981-12-01,7.038039291856912,0.05096061880932197,7.038039291856912,0.10259970992276951,-1.904187853014899,-0.6099340191723162,1.1629403040052826,1.09426706192488,-1.9041878530148941
1982-01-01,7.007864797996897,0.05279622561207936,7.007864797996897,0.10259970992276951,-1.052406990401776,-0.3370984771510228,1.1760590932714936,1.0932738870854941,-1.052406990401776
1982-02-01,6.7436924689645945,0.05466321829807511,6.7436924689645945,0.10259970992276951,-1.1992017985586092,-0.3841186002922168,1.2874525338498393,1.092587879683869,-1.199201798558609
1982-03-01,7.042123099649743,0.05655805961971978,7.042123099649743,0.10259970992276951,-1.7836477671261828,-0.571323595867141,1.1653327495674182,1.0918566376901748,-1.783647767126183
1982-04-01,7.407797012151361,0.05846847201352265,7.407797012151361,0.10259970992276951,-1.3469650948524092,-0.4314489417036125,1.0281477256627185,1.0909276896380073,-1.3469650948524092
1982-05-01,7.396404835930593,0.0604004368862492,7.396404835930593,0.10259970992276951,-1.4211610255924816,-0.4552147808622182,1.0319411665930716,1.0901596868632843,-1.4211610255924811
1982-06-01,7.514536155324991,0.06235083119572293,7.514536155324991,0.10259970992276951,-1.686035558279169,-0.5400572442999456,0.9894836798343454,1.0893726861944402,-1.6860355582791693
1982-07-01,7.804866366526091,0.06431228384682551,7.804866366526091,0.10259970992276951,-1.5958465929358263,-0.5111686459246529,0.891325233407626,1.0885004081711942,-1.595846592935826
