Teste,0.01,pvalor,Rejeicao
Jarque Bera,0.01,9.329666309810322e-9,Rejeita H₀
H,0.01,8.881784197001252e-16,Rejeita H₀
ARCHLM,0.01,2.9422460798321497e-7,Rejeita H₀
Ljung Box,0.01,9.547359114555186e-71,Rejeita H₀
