Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,0.04337477576888663,Rejeita H₀
H,0.05,0.2960566473880524,Não rejeita H₀
ARCHLM,0.05,3.0899819324997293e-6,Rejeita H₀
Ljung Box,0.05,3.3007048696212677e-43,Rejeita H₀
