Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,3.255837323856749e-120,Rejeita H₀
ARCHLM,0.05,4.5018510243950287e-20,Rejeita H₀
Ljung Box,0.05,2.0846390473973346e-55,Rejeita H₀
