Teste,0.01,pvalor,Rejeicao
Jarque Bera,0.01,6.425804890504858e-191,Rejeita H₀
ARCHLM,0.01,2.2519898493565507e-21,Rejeita H₀
Ljung Box,0.01,7.988705073201966e-62,Rejeita H₀
