,Data,Valor
236,1999-09-01,2187
237,1999-10-01,2061
238,1999-11-01,1836
239,1999-12-01,1739
240,2000-01-01,1621
241,2000-02-01,1553
242,2000-03-01,1819
243,2000-04-01,2187
244,2000-05-01,2304
245,2000-06-01,2242
246,2000-07-01,2820
247,2000-08-01,2909
248,2000-09-01,2214
249,2000-10-01,2028
250,2000-11-01,1681
251,2000-12-01,1829
252,2001-01-01,1588
253,2001-02-01,1454
254,2001-03-01,1820
255,2001-04-01,2008
256,2001-05-01,2023
257,2001-06-01,2248
258,2001-07-01,2546
259,2001-08-01,2588
260,2001-09-01,1964
261,2001-10-01,1630
262,2001-11-01,1582
263,2001-12-01,1381
264,2002-01-01,1538
265,2002-02-01,1266
266,2002-03-01,1754
267,2002-04-01,2220
268,2002-05-01,2009
269,2002-06-01,2280
270,2002-07-01,2807
271,2002-08-01,2716
272,2002-09-01,2096
273,2002-10-01,2053
274,2002-11-01,1769
275,2002-12-01,1884
276,2003-01-01,1785
277,2003-02-01,1440
278,2003-03-01,1701
279,2003-04-01,1836
280,2003-05-01,1827
281,2003-06-01,2422
282,2003-07-01,2657
283,2003-08-01,2829
284,2003-09-01,2230
285,2003-10-01,2162
286,2003-11-01,2007
287,2003-12-01,1978
288,2004-01-01,1764
289,2004-02-01,1758
290,2004-03-01,1929
291,2004-04-01,2267
292,2004-05-01,2345
293,2004-06-01,2403
294,2004-07-01,2905
295,2004-08-01,3132
296,2004-09-01,2375
297,2004-10-01,2250
298,2004-11-01,2143
299,2004-12-01,2355
300,2005-01-01,2129
301,2005-02-01,1851
302,2005-03-01,2191
303,2005-04-01,2331
304,2005-05-01,2769
305,2005-06-01,2768
306,2005-07-01,3116
307,2005-08-01,3206
308,2005-09-01,2536
309,2005-10-01,2449
310,2005-11-01,2389
311,2005-12-01,2235
312,2006-01-01,2261
313,2006-02-01,1786
314,2006-03-01,2304
315,2006-04-01,2920
316,2006-05-01,2836
317,2006-06-01,2720
318,2006-07-01,3530
319,2006-08-01,3705
320,2006-09-01,3061
321,2006-10-01,2511
322,2006-11-01,2569
323,2006-12-01,2512
