"","l","b","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"1",6.91820342721518,0.0026102829297938,0.953607798364331,0.962648282259233,1.00556559153452,1.03333877694823,1.0875593754734,1.07204545732207,1.01681050087022,1.01727387975763,1.00990739038477,0.960070041354569,0.924508893620624,0.956664012110409
"2",6.91637744660376,0.00260864559953883,0.955847628510569,0.953607798364331,0.962648282259233,1.00556559153452,1.03333877694823,1.0875593754734,1.07204545732207,1.01681050087022,1.01727387975763,1.00990739038477,0.960070041354569,0.924508893620624
"3",6.92004377707518,0.00260903596846639,0.924697041611233,0.955847628510569,0.953607798364331,0.962648282259233,1.00556559153452,1.03333877694823,1.0875593754734,1.07204545732207,1.01681050087022,1.01727387975763,1.00990739038477,0.960070041354569
"4",6.9114335112234,0.00260489516345352,0.957998608528608,0.924697041611233,0.955847628510569,0.953607798364331,0.962648282259233,1.00556559153452,1.03333877694823,1.0875593754734,1.07204545732207,1.01681050087022,1.01727387975763,1.00990739038477
"5",6.9013284514761,0.00260020419017808,1.00743584591698,0.957998608528608,0.924697041611233,0.955847628510569,0.953607798364331,0.962648282259233,1.00556559153452,1.03333877694823,1.0875593754734,1.07204545732207,1.01681050087022,1.01727387975763
"6",6.89561180994595,0.00259713461980714,1.0156424255062,1.00743584591698,0.957998608528608,0.924697041611233,0.955847628510569,0.953607798364331,0.962648282259233,1.00556559153452,1.03333877694823,1.0875593754734,1.07204545732207,1.01681050087022
"7",6.90101312062957,0.0025981695813839,1.01736078072216,1.0156424255062,1.00743584591698,0.957998608528608,0.924697041611233,0.955847628510569,0.953607798364331,0.962648282259233,1.00556559153452,1.03333877694823,1.0875593754734,1.07204545732207
"8",6.91295523689848,0.00260161823281548,1.07397716710184,1.01736078072216,1.0156424255062,1.00743584591698,0.957998608528608,0.924697041611233,0.955847628510569,0.953607798364331,0.962648282259233,1.00556559153452,1.03333877694823,1.0875593754734
"9",6.91453057885128,0.00260123945612929,1.08734451092353,1.07397716710184,1.01736078072216,1.0156424255062,1.00743584591698,0.957998608528608,0.924697041611233,0.955847628510569,0.953607798364331,0.962648282259233,1.00556559153452,1.03333877694823
"10",6.9019460242104,0.00259563470341572,1.03031862468993,1.08734451092353,1.07397716710184,1.01736078072216,1.0156424255062,1.00743584591698,0.957998608528608,0.924697041611233,0.955847628510569,0.953607798364331,0.962648282259233,1.00556559153452
"11",6.88480876367645,0.00258835171265331,1.00173962632775,1.03031862468993,1.08734451092353,1.07397716710184,1.01736078072216,1.0156424255062,1.00743584591698,0.957998608528608,0.924697041611233,0.955847628510569,0.953607798364331,0.962648282259233
"12",6.8864293967175,0.00258799454833145,0.962468214362217,1.00173962632775,1.03031862468993,1.08734451092353,1.07397716710184,1.01736078072216,1.0156424255062,1.00743584591698,0.957998608528608,0.924697041611233,0.955847628510569,0.953607798364331
