"","l","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"96",4.51553214502881,1.12603832237959,1.22323174508182,1.22232085242253,1.23110024693163,1.18676934749191,1.14510160995307,1.07351882038499,0.916556410456146,0.625747711115102,0.5912235481635,0.699250445549747,0.948845031556881
"97",4.51863995353562,0.949023560775849,1.12603832237959,1.22323174508182,1.22232085242253,1.23110024693163,1.18676934749191,1.14510160995307,1.07351882038499,0.916556410456146,0.625747711115102,0.5912235481635,0.699250445549747
"98",4.47977684709419,0.697606334189505,0.949023560775849,1.12603832237959,1.22323174508182,1.22232085242253,1.23110024693163,1.18676934749191,1.14510160995307,1.07351882038499,0.916556410456146,0.625747711115102,0.5912235481635
"99",4.41457200323222,0.588870970841492,0.697606334189505,0.949023560775849,1.12603832237959,1.22323174508182,1.22232085242253,1.23110024693163,1.18676934749191,1.14510160995307,1.07351882038499,0.916556410456146,0.625747711115102
"100",4.41089189459669,0.62560510438941,0.588870970841492,0.697606334189505,0.949023560775849,1.12603832237959,1.22323174508182,1.22232085242253,1.23110024693163,1.18676934749191,1.14510160995307,1.07351882038499,0.916556410456146
"101",4.41513164658977,0.916797257845234,0.62560510438941,0.588870970841492,0.697606334189505,0.949023560775849,1.12603832237959,1.22323174508182,1.22232085242253,1.23110024693163,1.18676934749191,1.14510160995307,1.07351882038499
"102",4.41093398936937,1.0732397963076,0.916797257845234,0.62560510438941,0.588870970841492,0.697606334189505,0.949023560775849,1.12603832237959,1.22323174508182,1.22232085242253,1.23110024693163,1.18676934749191,1.14510160995307
"103",4.41237624684924,1.14520396870246,1.0732397963076,0.916797257845234,0.62560510438941,0.588870970841492,0.697606334189505,0.949023560775849,1.12603832237959,1.22323174508182,1.22232085242253,1.23110024693163,1.18676934749191
"104",4.41824155167436,1.18720062129114,1.14520396870246,1.0732397963076,0.916797257845234,0.62560510438941,0.588870970841492,0.697606334189505,0.949023560775849,1.12603832237959,1.22323174508182,1.22232085242253,1.23110024693163
"105",4.42138323640142,1.23133956487822,1.18720062129114,1.14520396870246,1.0732397963076,0.916797257845234,0.62560510438941,0.588870970841492,0.697606334189505,0.949023560775849,1.12603832237959,1.22323174508182,1.22232085242253
"106",4.42972202459867,1.22295108189338,1.23133956487822,1.18720062129114,1.14520396870246,1.0732397963076,0.916797257845234,0.62560510438941,0.588870970841492,0.697606334189505,0.949023560775849,1.12603832237959,1.22323174508182
"107",4.43512217109648,1.22363941298094,1.22295108189338,1.23133956487822,1.18720062129114,1.14520396870246,1.0732397963076,0.916797257845234,0.62560510438941,0.588870970841492,0.697606334189505,0.949023560775849,1.12603832237959
"108",4.44916303426149,1.12701288577408,1.22363941298094,1.22295108189338,1.23133956487822,1.18720062129114,1.14520396870246,1.0732397963076,0.916797257845234,0.62560510438941,0.588870970841492,0.697606334189505,0.949023560775849
"109",4.47168627007668,0.950336964255226,1.12701288577408,1.22363941298094,1.22295108189338,1.23133956487822,1.18720062129114,1.14520396870246,1.0732397963076,0.916797257845234,0.62560510438941,0.588870970841492,0.697606334189505
"110",4.50364401305743,0.69896929664577,0.950336964255226,1.12701288577408,1.22363941298094,1.22295108189338,1.23133956487822,1.18720062129114,1.14520396870246,1.0732397963076,0.916797257845234,0.62560510438941,0.588870970841492
"111",4.50381035873869,0.588876916997854,0.69896929664577,0.950336964255226,1.12701288577408,1.22363941298094,1.22295108189338,1.23133956487822,1.18720062129114,1.14520396870246,1.0732397963076,0.916797257845234,0.62560510438941
"112",4.52763182238983,0.626509705953936,0.588876916997854,0.69896929664577,0.950336964255226,1.12701288577408,1.22363941298094,1.22295108189338,1.23133956487822,1.18720062129114,1.14520396870246,1.0732397963076,0.916797257845234
"113",4.54376011931123,0.917690068606899,0.626509705953936,0.588876916997854,0.69896929664577,0.950336964255226,1.12701288577408,1.22363941298094,1.22295108189338,1.23133956487822,1.18720062129114,1.14520396870246,1.0732397963076
"114",4.54674672832261,1.07343265021754,0.917690068606899,0.626509705953936,0.588876916997854,0.69896929664577,0.950336964255226,1.12701288577408,1.22363941298094,1.22295108189338,1.23133956487822,1.18720062129114,1.14520396870246
"115",4.54240736816933,1.14490517153063,1.07343265021754,0.917690068606899,0.626509705953936,0.588876916997854,0.69896929664577,0.950336964255226,1.12701288577408,1.22363941298094,1.22295108189338,1.23133956487822,1.18720062129114
"116",4.54464130576315,1.18736023778859,1.14490517153063,1.07343265021754,0.917690068606899,0.626509705953936,0.588876916997854,0.69896929664577,0.950336964255226,1.12701288577408,1.22363941298094,1.22295108189338,1.23133956487822
"117",4.54520578698037,1.23138137644316,1.18736023778859,1.14490517153063,1.07343265021754,0.917690068606899,0.626509705953936,0.588876916997854,0.69896929664577,0.950336964255226,1.12701288577408,1.22363941298094,1.22295108189338
"118",4.54139740305621,1.22267094844832,1.23138137644316,1.18736023778859,1.14490517153063,1.07343265021754,0.917690068606899,0.626509705953936,0.588876916997854,0.69896929664577,0.950336964255226,1.12701288577408,1.22363941298094
"119",4.5387135401995,1.22344171921522,1.22267094844832,1.23138137644316,1.18736023778859,1.14490517153063,1.07343265021754,0.917690068606899,0.626509705953936,0.588876916997854,0.69896929664577,0.950336964255226,1.12701288577408
"120",4.53637035573193,1.12685382199638,1.22344171921522,1.22267094844832,1.23138137644316,1.18736023778859,1.14490517153063,1.07343265021754,0.917690068606899,0.626509705953936,0.588876916997854,0.69896929664577,0.950336964255226
"121",4.52313677675003,0.949579058619962,1.12685382199638,1.22344171921522,1.22267094844832,1.23138137644316,1.18736023778859,1.14490517153063,1.07343265021754,0.917690068606899,0.626509705953936,0.588876916997854,0.69896929664577
"122",4.5365053797673,0.699534068583862,0.949579058619962,1.12685382199638,1.22344171921522,1.22267094844832,1.23138137644316,1.18736023778859,1.14490517153063,1.07343265021754,0.917690068606899,0.626509705953936,0.588876916997854
"123",4.53839143776191,0.588943847926062,0.699534068583862,0.949579058619962,1.12685382199638,1.22344171921522,1.22267094844832,1.23138137644316,1.18736023778859,1.14490517153063,1.07343265021754,0.917690068606899,0.626509705953936
"124",4.49217100962926,0.624765376474034,0.588943847926062,0.699534068583862,0.949579058619962,1.12685382199638,1.22344171921522,1.22267094844832,1.23138137644316,1.18736023778859,1.14490517153063,1.07343265021754,0.917690068606899
