,DATA,MEDIA
245,2020-11-01,120.53
246,2020-12-01,233.72
247,2021-01-01,201.85
248,2021-02-01,301.8
249,2021-03-01,303.29
250,2021-04-01,180.78
251,2021-05-01,41.0
252,2021-06-01,14.35
253,2021-07-01,9.54
254,2021-08-01,10.69
255,2021-09-01,95.21
256,2021-10-01,138.17
257,2021-11-01,232.34
258,2021-12-01,265.05
259,2022-01-01,285.96
260,2022-02-01,225.93
261,2022-03-01,241.86
262,2022-04-01,132.23
263,2022-05-01,28.69
264,2022-06-01,29.53
265,2022-07-01,4.69
266,2022-08-01,9.47
267,2022-09-01,47.1
268,2022-10-01,146.89
