"","l","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"1",28878.2792325887,0.493167997712956,0.518923129459523,0.630523175216972,0.772545004798181,0.864214201972402,1.21955637264251,1.58059409839898,1.72453477269579,1.61398659214788,1.19362649232212,0.795156201150389,0.593171961482287
"2",28453.6019419717,0.59316837047631,0.493167997712956,0.518923129459523,0.630523175216972,0.772545004798181,0.864214201972402,1.21955637264251,1.58059409839898,1.72453477269579,1.61398659214788,1.19362649232212,0.795156201150389
"3",28771.0636183677,0.795159853348194,0.59316837047631,0.493167997712956,0.518923129459523,0.630523175216972,0.772545004798181,0.864214201972402,1.21955637264251,1.58059409839898,1.72453477269579,1.61398659214788,1.19362649232212
"4",29021.7361502944,1.1936307735374,0.795159853348194,0.59316837047631,0.493167997712956,0.518923129459523,0.630523175216972,0.772545004798181,0.864214201972402,1.21955637264251,1.58059409839898,1.72453477269579,1.61398659214788
"5",26982.7039402365,1.61393991026049,1.1936307735374,0.795159853348194,0.59316837047631,0.493167997712956,0.518923129459523,0.630523175216972,0.772545004798181,0.864214201972402,1.21955637264251,1.58059409839898,1.72453477269579
"6",25184.0745085748,1.72448744929242,1.61393991026049,1.1936307735374,0.795159853348194,0.59316837047631,0.493167997712956,0.518923129459523,0.630523175216972,0.772545004798181,0.864214201972402,1.21955637264251,1.58059409839898
"7",23701.0747111705,1.5805557821277,1.72448744929242,1.61393991026049,1.1936307735374,0.795159853348194,0.59316837047631,0.493167997712956,0.518923129459523,0.630523175216972,0.772545004798181,0.864214201972402,1.21955637264251
"8",22538.3733132199,1.2195317434699,1.5805557821277,1.72448744929242,1.61393991026049,1.1936307735374,0.795159853348194,0.59316837047631,0.493167997712956,0.518923129459523,0.630523175216972,0.772545004798181,0.864214201972402
"9",22372.1825467171,0.864211578638879,1.2195317434699,1.5805557821277,1.72448744929242,1.61393991026049,1.1936307735374,0.795159853348194,0.59316837047631,0.493167997712956,0.518923129459523,0.630523175216972,0.772545004798181
"10",22365.086885416,0.772544903929557,0.864211578638879,1.2195317434699,1.5805557821277,1.72448744929242,1.61393991026049,1.1936307735374,0.795159853348194,0.59316837047631,0.493167997712956,0.518923129459523,0.630523175216972
"11",22602.6457347329,0.630525932297585,0.772544903929557,0.864211578638879,1.2195317434699,1.5805557821277,1.72448744929242,1.61393991026049,1.1936307735374,0.795159853348194,0.59316837047631,0.493167997712956,0.518923129459523
"12",22992.0006911016,0.51892680936993,0.630525932297585,0.772544903929557,0.864211578638879,1.2195317434699,1.5805557821277,1.72448744929242,1.61393991026049,1.1936307735374,0.795159853348194,0.59316837047631,0.493167997712956
"13",24000.0166127017,0.493176898600255,0.51892680936993,0.630525932297585,0.772544903929557,0.864211578638879,1.2195317434699,1.5805557821277,1.72448744929242,1.61393991026049,1.1936307735374,0.795159853348194,0.59316837047631
"14",26188.2685656124,0.593190634904958,0.493176898600255,0.51892680936993,0.630525932297585,0.772544903929557,0.864211578638879,1.2195317434699,1.5805557821277,1.72448744929242,1.61393991026049,1.1936307735374,0.795159853348194
"15",26636.5157029684,0.795165456249478,0.593190634904958,0.493176898600255,0.51892680936993,0.630525932297585,0.772544903929557,0.864211578638879,1.2195317434699,1.5805557821277,1.72448744929242,1.61393991026049,1.1936307735374
