Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,2.7807244573465104e-13,Rejeita H₀
ARCHLM,0.05,0.03614572065848445,Rejeita H₀
Ljung Box,0.05,1.2822967074019996e-23,Rejeita H₀
