Teste,0.01,pvalor,Rejeicao
Jarque Bera,0.01,0.42757205694181344,Não rejeita H₀
H,0.01,0.8644431223648112,Não rejeita H₀
ARCHLM,0.01,0.004784827828246809,Rejeita H₀
Ljung Box,0.01,1.5149107781179759e-5,Rejeita H₀
