Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,0.005880581567540807,Rejeita H₀
H,0.05,0.6146568667378466,Não rejeita H₀
ARCHLM,0.05,0.012721558160070166,Rejeita H₀
Ljung Box,0.05,0.019899842447641345,Rejeita H₀
