Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,0.010954642248808573,Rejeita H₀
H,0.05,0.4261157724726091,Não rejeita H₀
ARCHLM,0.05,2.651396557597684e-6,Rejeita H₀
Ljung Box,0.05,8.213180691233042e-39,Rejeita H₀
