Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,0.00011611465243302288,Rejeita H₀
H,0.05,0.17832735600826966,Não rejeita H₀
ARCHLM,0.05,0.0026010571873946444,Rejeita H₀
Ljung Box,0.05,0.0001280280142475962,Rejeita H₀
