Treino_Lognormal_kappa_level,Treino_Lognormal_kappa_slope,Treino_Lognormal_phi_slope,Treino_Lognormal_phi,Treino_Gamma_kappa_level,Treino_Gamma_kappa_slope,Treino_Gamma_phi_slope,Treino_Gamma_phi
0.66801,0.001,1.0,Inf,0.36407,0.001,1.0,Inf
0.29769,0.001,1.0,-0.7794,0.34748,0.001,1.0,0.00011
