Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,0.003940253632643508,Rejeita H₀
ARCHLM,0.05,8.297525113700836e-38,Rejeita H₀
Ljung Box,0.05,0.0,Rejeita H₀
