Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,3.501728776129861e-9,Rejeita H₀
ARCHLM,0.05,7.739521123022939e-8,Rejeita H₀
Ljung Box,0.05,1.669840100712052e-39,Rejeita H₀
