Steps,Q5%,Q25%,Q50%,Q75%,Q95%
1.0,-69613.36043771816,-61226.11507904812,2.761026063520968e6,8.799155838819921e7,1.4633405232017705e9
5.0,-69613.33163403426,-52874.75777659041,5.397691650670055e6,1.4817193246104264e8,2.2199927013240933e9
12.0,-69613.35631648646,-64993.605945059695,3.9675141125669586e6,1.1810990132145232e8,1.569314181802988e9
