Teste,0.05,pvalor,Rejeicao
Jarque Bera,0.05,6.155513820355048e-8,Rejeita H₀
ARCHLM,0.05,5.091529023368974e-7,Rejeita H₀
Ljung Box,0.05,3.690913450265527e-35,Rejeita H₀
